id,label,run,backbone_lr,classifier_lr,best_epoch,train_macro_f1_at_best,dev_macro_f1,train_dev_macro_f1_gap,dev_balanced_accuracy,mean_corrupted_macro_f1,worst_brightness_factor,worst_macro_f1,maximum_relative_drop_pct
LR-0,LR-0 equal,isic2018_7class_efficientnet_b0_320,0.0002,0.0002,17,0.9164664932992582,0.76409086453313,0.1523756287661282,0.7958152647156634,0.6500668926099321,0.5,0.511323063683103,33.08085629376967
LR-1,LR-1 low body,isic2018_effnet_lr1_low_body,5e-05,0.0002,16,0.7781550028759218,0.6845759203379356,0.09357908253798619,0.8040970978405539,0.5999739086780759,1.5,0.49074890839762764,28.313442845700262
LR-2,LR-2 recommended,isic2018_effnet_lr2_recommended,5e-05,0.0005,16,0.7805825409805169,0.6794799638698985,0.10110257711061843,0.8121656056303952,0.589263015481238,1.5,0.4779905363229256,29.653475931713054
LR-3,LR-3 very low body,isic2018_effnet_lr3_very_low_body,1e-05,0.0005,17,0.5926025988470658,0.5612742793825928,0.03132831946447301,0.7714460675870038,0.4943776667574212,1.5,0.39571570537963713,29.496910883761092
LR-4,LR-4 higher body,isic2018_effnet_lr4_higher_body,0.0001,0.0005,17,0.8512924047395064,0.7184831502008872,0.13280925453861925,0.8078313769513646,0.6251590398800473,1.5,0.5276895325586375,26.555058053748922
